Sandwich Label,Ingredient Label
medianoche,mustard
medianoche,ham
medianoche,pork
medianoche,pickled cucumber
medianoche,Swiss cheeses
Međimurska gibanica,puff pastry
mitraillette,fries
mitraillette,sauce
mitraillette,crudités
mitraillette,meat
Monte Cristo sandwich,egg as food
Monte Cristo sandwich,ham
Monte Cristo sandwich,batter
Monte Cristo sandwich,Emmental
Montreal-style smoked meat,mustard
Montreal-style smoked meat,smoked meat
Morcipan,blood sausage
mortadella sandwich,mortadella
MOS Burger,ragù
MOS Burger,tomato
MOS Burger,hamburger
mushroom burger,Agaricus bisporus
Nasty Patty,Krabby Patty
Nasty Patty,gym sock
Nasty Patty,nail trimmings
Nasty Patty,Volcano Sauce
Nasty Patty,Seahorse Radish
Nasty Patty,water
Nature Patty,twig
Nature Patty,leaf
Nature Patty,soil
Nature Patty,worm
Nature Patty,rock
Num pang,meat
Num pang,vegetable
open sandwich,food ingredient
Pan-bagnat,olive oil
Pan-bagnat,olive oil
Pan-bagnat,olive oil
Pan-bagnat,olive oil
Pan-bagnat,Engraulidae
Pan-bagnat,Engraulidae
Pan-bagnat,Engraulidae
Pan-bagnat,Engraulidae
Pan-bagnat,bell pepper
Pan-bagnat,bell pepper
Pan-bagnat,bell pepper
Pan-bagnat,bell pepper
Pan-bagnat,Thunnus
Pan-bagnat,Thunnus
Pan-bagnat,Thunnus
Pan-bagnat,Thunnus
Pan-bagnat,radish
Pan-bagnat,radish
Pan-bagnat,radish
Pan-bagnat,radish
Pan-bagnat,hard-boiled egg
Pan-bagnat,hard-boiled egg
Pan-bagnat,hard-boiled egg
Pan-bagnat,hard-boiled egg
Pan-bagnat,globe artichoke
Pan-bagnat,table salt
Pan-bagnat,table salt
Pan-bagnat,table salt
Pan-bagnat,table salt
Pan-bagnat,tomato
Pan-bagnat,tomato
Pan-bagnat,tomato
Pan-bagnat,tomato
Pan-bagnat,Welsh onion
Pan-bagnat,Welsh onion
Pan-bagnat,Welsh onion
Pan-bagnat,Welsh onion
Pan-bagnat,Apium graveolens
Pan-bagnat,Apium graveolens
Pan-bagnat,Apium graveolens
Pan-bagnat,Apium graveolens
Pan-bagnat,basil
Pan-bagnat,basil
Pan-bagnat,basil
Pan-bagnat,basil
Pan-bagnat,Piper nigrum
Pan-bagnat,Piper nigrum
Pan-bagnat,Piper nigrum
Pan-bagnat,Piper nigrum
Pan-bagnat,globe artichoke
Pan-bagnat,globe artichoke
Pan-bagnat,globe artichoke
Pan-bagnat,Fève
Pan-bagnat,Fève
Pan-bagnat,Fève
Pan-bagnat,Fève
Pan-bagnat,black olive
Pan-bagnat,black olive
Pan-bagnat,black olive
Pan-bagnat,black olive
pani ca meusa,lung
pani ca meusa,spleen
pastrami on rye,pastrami
Patchy Patty,lettuce
Patchy Patty,mustard
Patchy Patty,pickled cucumber
Patchy Patty,construction paper
Patchy Patty,neata
Patchy Patty,hair
Patty,mustard
Patty,pickled cucumber
Patty,tomato
Patty,ketchup
Patty,lettuce
Patty,cheese
pavê,egg as food
pavê,condensed milk
pavê,ladyfinger
pavê,cream
pavê,chocolate
peanut butter and jelly sandwich,peanut butter
peanut butter and jelly sandwich,jam
peanut butter and pickle sandwich,peanut butter
peanut butter and pickle sandwich,pickled cucumber
"peanut butter, banana and bacon sandwich",peanut butter
"peanut butter, banana and bacon sandwich",bacon
"peanut butter, banana and bacon sandwich",banana
po' boy,Multiple
pork chop bun,piggy bun
Port sausage,sausage
Port sausage,tomato paste
Port sausage,onion
Port sausage,tomato
Port sausage,spice
prego,beef
prego,onion
prego,garlic
prego,wine
Prekmurska gibanica,flour
Pretty Patty,food coloring
Pretty Patty,Krabby Patty
princess cake,marzipan
princess cake,whipped cream
princess cake,sponge cake
princess cake,pastry cream
princess cake,jam
Q107413898,beef
Q107413898,onion
Q107413898,ham
Q109423278,Musa balbisiana
Q109423278,pork
Q109423278,Guajillo chili
Q109423278,spice
Q114679328,pork
Q114679328,sandwich
Q117192636,brown shrimp as food
Q5396381,tripe
Q5396381,Q6152823
Q5396381,Allium cepa
Q89402220,fried egg
Q89402220,salsa criolla
quesadilla,cheese
red velvet cake,flour
Reuben sandwich,sauerkraut
Reuben sandwich,corned beef
Reuben sandwich,Thousand Island dressing
Reuben sandwich,Swiss cheese
Reuben sandwich,Russian dressing
rice burger,rice
roast beef sandwich,roast beef
roti,potato
roujiamo,pork
Sailor sandwich,pastrami
Salisbury steak,beef
salmon burger,salmon
sausage sandwich,sausage
Seattle-style hot dog,cream cheese
shawarma,sauce
shawarma,paprika
shawarma,Morkovcha
shawarma,cabbage
shawarma,cardamom
shawarma,cumin seed
shawarma,meat
shawarma,vegetable
shrimp po' boy,lettuce
shrimp po' boy,lettuce
shrimp po' boy,lettuce
shrimp po' boy,lettuce
shrimp po' boy,mayonnaise
shrimp po' boy,mayonnaise
shrimp po' boy,mayonnaise
shrimp po' boy,mayonnaise
shrimp po' boy,pickle
shrimp po' boy,pickle
shrimp po' boy,pickle
shrimp po' boy,pickle
shrimp po' boy,shrimp and prawn as food
shrimp po' boy,shrimp and prawn as food
shrimp po' boy,shrimp and prawn as food
shrimp po' boy,shrimp and prawn as food
shrimp po' boy,tomato
shrimp po' boy,tomato
shrimp po' boy,tomato
shrimp po' boy,tomato
Sincronizada,ham
sloppy joe,ground beef
smørrebrød,butter
Sonoran hot dog,bacon
soy burger,soy bean
spekkoek,egg yolk
stack cake,apple
steak sandwich,steak
Strammer Max,ham
Strammer Max,fried egg
stuffed flatbread,meat
stuffed flatbread,vegetable
sushi burrito,nori
sushi burrito,burrito
sushi burrito,sumeshi
sushi burrito,sushi
sushi burrito,raw fish
synthetic Krabby Patty,aerosol paint
synthetic Krabby Patty,sludge
sándwich York,egg as food
sándwich York,ham
sándwich York,table salt
sándwich York,oil
sándwich York,black pepper
taco,stuffing
taco acorazado,sauce
taco acorazado,ragout
taco acorazado,Phaseolus vulgaris
taco acorazado,rice
Taco al pastor,pork
Taco al pastor,pineapple
taco rice,beef
taco rice,salsa
taco rice,Lactuca
taco rice,tomato
taco rice,rice
Taco árabe,lamb meat
Tacos de lengua,beef tongue
Tacos gobernador,Caridea
Tacos gobernador,Allium cepa
Tacos gobernador,tomato
Tacos gobernador,poblano
Tacos gobernador,cheese
teriyaki burger,teriyaki sauce
Toast Hawaii,ham
Toast Hawaii,maraschino cherry
Toast Hawaii,processed cheese
Toast Hawaii,canned pineapple
Toast Pelle Janzon,egg yolk
Toast Pelle Janzon,beef tenderloin
Toast Pelle Janzon,Kalix Löjrom
Toast Pelle Janzon,red onion
tomato sandwich,tomato
Torta Tre Monti,wafer cookie
tuna fish sandwich,tuna salad
turkey burgers,turkey meat
vegan burger,vegan burger patty product
veggie burger,Lens culinaris
veggie burger,halloumi
veggie burger,condiment
veggie burger,tofu
veggie burger,soybean
vension burger,venison
"Wawa Turkey, Apple & Cranberry Wrap",turkey meat
"Wawa Turkey, Apple & Cranberry Wrap",cranberry
"Wawa Turkey, Apple & Cranberry Wrap",apple
White hot,pork
Widerbergare,roast beef
wrap,stuffing
zapiekanka,ketchup
zapiekanka,Agaricus bisporus
zapiekanka,fungi
zapiekanka,cheese
